motor_id,manufacturer,efficiency_class,starting_torque_category,group_id,frequency_hz,poles,rated_voltage_v,rated_power_w,rated_speed_rpm,rated_current_a,rated_torque_nm,ist_in,mst_mn,mk_mn,r1,p_rot,s_r,s_k,i2_rated,r2_rated,r20,g_r,r2k,x2k,x20,g_x,x2_rated,x1,e_internal,r_m,i0p,i0q,x_m,converged,status,error_type,error_message,elapsed_ms,row_index
WEG_W22_IE4_50HZ_6P_3kW_0001,,,,,50.0,6,380.0,3000.0,975.0,7.04,,6.3,2.3,2.6,1.6050092923151649,68.56140219930012,0.025,0.10928078794301994,5.299416251809365,0.9401385513711293,1.1992143124899257,-0.24649531570995598,0.9503066533259902,5.206829108236457,2.03749330822951,0.9941422256893947,5.437704886864876,2.03749330822951,201.36006567165782,1774.1414883595357,-0.09482706453519096,3.9815442309795053,50.57335897587679,True,ok,,,0.24,1
WEG_W22_IE4_50HZ_6P_3kW_0002,,,,,50.0,6,400.0,3000.0,975.0,6.69,,6.3,2.3,2.6,1.7784036479946426,68.56140219930012,0.025,0.10928078794301994,5.037272104254313,1.0410926753966214,1.3279749591653582,-0.2464849468066349,1.0523521740655621,5.770060946185984,2.2568890997596873,0.9946132154651701,6.02603482530369,2.2568890997596873,211.9555430300219,1965.7628394424844,-0.09134527997905906,3.782935919323826,56.029377063280386,True,ok,,,0.287,2
WEG_W22_IE4_50HZ_6P_3kW_0003,,,,,50.0,6,415.0,3000.0,975.0,6.45,,6.3,2.3,2.6,1.914284801724231,68.56140219930032,0.025,0.10928078794301994,4.857756728012942,1.1200215288417095,1.4286396267027388,-0.2464752147761334,1.1321341683882948,6.211657126008795,2.428602071884915,0.9950546460573817,6.487346257248486,2.428602071884915,219.90152164339602,2115.9141004955027,-0.08918215653318295,3.6466263427077594,60.30272942089009,True,ok,,,0.151,3
WEG_W22_IE4_50HZ_6P_3kW_0004,,,,,50.0,6,660.0,3000.0,975.0,4.05,,6.3,2.3,2.6,4.841703931665414,68.56140219930018,0.025,0.10928078794301994,3.0464696765912076,2.8406317242939823,3.6235317829538607,-0.24652376662727252,2.871358242991494,15.701622911682513,6.15174858840458,0.9928463084696619,16.396920506814332,6.15174858840458,349.74162843928247,5352.2478861120635,-0.05249936697349611,2.2916204078309113,152.6176094627834,True,ok,,,0.241,4
WEG_W22_IE4_50HZ_6P_3kW_0005,,,,,50.0,6,690.0,3000.0,975.0,3.88,,6.3,2.3,2.6,5.2918623550640564,68.56140219930023,0.025,0.10928078794301994,2.922616312635267,3.0951724780242538,3.9480138743424313,-0.24646937036601485,3.1286448835340055,17.172754764052,6.712438466415096,0.995319447629376,17.935132532006005,6.712438466415096,365.61704915483296,5849.172669081667,-0.054049495503618594,2.1934132522880274,166.68862959291633,True,ok,,,0.148,5
WEG_W22_IE4_50HZ_6P_3kW_0006,,,,,50.0,6,415.0,3000.0,975.0,6.45,,6.3,2.3,2.6,1.914284801724231,68.56140219930032,0.025,0.10928078794301994,4.857756728012942,1.1200215288417095,1.4286396267027388,-0.2464752147761334,1.1321341683882948,6.211657126008795,2.428602071884915,0.9950546460573817,6.487346257248486,2.428602071884915,219.90152164339602,2115.9141004955027,-0.08918215653318295,3.6466263427077594,60.30272942089009,True,ok,,,0.145,6
WEG_W22_IE4_50HZ_6P_3kW_0007,,,,,50.0,6,500.0,3000.0,975.0,5.35,,6.3,2.3,2.6,2.778755699991626,68.56140219930029,0.025,0.10928078794301994,4.0269910875709085,1.6279029313144675,2.0765125362879098,-0.2464979060106944,1.6455097594097023,9.014311522553621,3.5277979242364936,0.9940244571885541,9.413966325827039,3.5277979242364936,264.94821142288765,3071.592141543318,-0.07181670515313865,3.025879741670889,87.56072086215278,True,ok,,,0.182,7
WEG_W22_IE4_50HZ_6P_3kW_0008,,,,,50.0,6,525.0,3000.0,975.0,5.1,,6.3,2.3,2.6,3.0635781592407687,68.56140219930023,0.025,0.10928078794301994,3.8419608323630663,1.7914703544740682,2.2850818942676163,-0.24646547193033339,1.8108437073351753,9.942159450800949,3.885516214285151,0.9954959583626877,10.383617739361663,3.885516214285151,278.1856941672222,3386.188640702383,-0.0713966053605235,2.8829052046683814,96.49491551673192,True,ok,,,0.151,8
WEG_W22_IE4_50HZ_6P_3kW_0009,,,,,50.0,6,575.0,3000.0,975.0,4.65,,6.3,2.3,2.6,3.674904413238926,68.56140219930026,0.025,0.10928078794301994,3.498659840250511,2.1548806849865,2.7487561600139063,-0.24651407793218055,2.1781886572430564,11.919096646983931,4.66784309639599,0.9932882130884683,12.447136862883607,4.66784309639599,304.69588198274874,4062.3256315866015,-0.061080876540854145,2.6306888516306532,115.82361091235879,True,ok,,,0.131,9
WEG_W22_IE4_50HZ_6P_3kW_0010,,,,,50.0,6,690.0,3000.0,975.0,3.88,,6.3,2.3,2.6,5.2918623550640564,68.56140219930023,0.025,0.10928078794301994,2.922616312635267,3.0951724780242538,3.9480138743424313,-0.24646937036601485,3.1286448835340055,17.172754764052,6.712438466415096,0.995319447629376,17.935132532006005,6.712438466415096,365.61704915483296,5849.172669081667,-0.054049495503618594,2.1934132522880274,166.68862959291633,True,ok,,,0.161,10
