efficiency_class,starting_torque_category,manufacturer,poles,power_band,n_samples,r1_a,r1_b,r1_r2,r1_median_pu,r1_mad_pu,x1_a,x1_b,x1_r2,x1_median_pu,x1_mad_pu,r2_rated_a,r2_rated_b,r2_rated_r2,r2_rated_median_pu,r2_rated_mad_pu,r20_a,r20_b,r20_r2,r20_median_pu,r20_mad_pu,x2_rated_a,x2_rated_b,x2_rated_r2,x2_rated_median_pu,x2_rated_mad_pu,x20_a,x20_b,x20_r2,x20_median_pu,x20_mad_pu,r_m_a,r_m_b,r_m_r2,r_m_median_pu,r_m_mad_pu,x_m_a,x_m_b,x_m_r2,x_m_median_pu,x_m_mad_pu
IE2,N,WEG,6,>100kW,117,0.2174236493436057,-0.253093462283279,0.10461362906186067,0.010445221328144879,0.0021400584252222413,0.04143646647237826,0.0294989890867316,0.08427101042772278,0.059797870060218646,0.0016071866930131712,0.0081949928996229,0.0008522716991144569,0.0008357447187861133,0.008299277997313476,9.387030132825512e-05,0.04434295557652127,-0.02757411638734116,0.06121192703850753,0.03137929394797447,0.0009947837692998798,0.011526245280698112,0.2159132247349277,0.47663992923123877,0.15900201129739705,0.011919649847657532,0.04143646647237826,0.0294989890867316,0.08427101042772278,0.059797870060218646,0.0016071866930131712,32.27487240970907,0.019166451446525897,0.0022704689316345172,42.24118777462333,4.042580978229246,3.474568780987965,-0.04618721568817781,0.04660701740156603,2.001167881891284,0.12667310957135292
,,,2,10-100kW,114,0.07064001949699797,-0.15524108448817844,0.5901225505224976,0.013417392112619449,0.0012096925527348432,0.032106018308260806,0.027222653682530865,0.1593613612383754,0.04317063559922574,0.0017383177053235284,0.656244949552075,-0.40395612010034593,0.7593053945129856,0.008981289300216855,0.0020295585378458303,0.051828699504406356,-0.059847537843562025,0.21298671973656036,0.028902268947615335,0.0021214904045734374,0.04912072197143916,0.04950763215838985,0.12901779587937934,0.08513945431294447,0.008907305566427687,0.032106018308260806,0.027222653682530865,0.1593613612383754,0.04317063559922574,0.0017383177053235284,3.8513706374952457,0.21512606712922477,0.7789436590152835,36.9486984129439,3.6139642063817092,0.6847858742274427,0.10472035673295026,0.3029288993122462,2.004551422253609,0.19576554209689934
,,,4,10-100kW,104,0.11009512707773603,-0.19643011133168203,0.509118423245981,0.014093382705141922,0.002249317564805265,0.03030899402122572,0.025642816451323915,0.08373386978806141,0.03980342064144775,0.0016097622767792183,0.26098870981490235,-0.3226887109974346,0.813311857178267,0.008828819681323844,0.0017209207937448536,0.020861863382017627,0.022749724885323667,0.3217874113875868,0.02620765712446539,0.0008252063403152883,0.03557716677897995,0.0849675965394336,0.18403274610621656,0.08463584638023539,0.009977260416841355,0.03030899402122572,0.025642816451323915,0.08373386978806141,0.03980342064144775,0.0016097622767792183,9.625327479946812,0.1544857453148182,0.4318803669183974,49.75500521430804,5.194302897184741,1.1895468198325048,0.02693727617340094,0.13942426470538782,1.562887603646924,0.06658795666550954
IE2,N,WEG,8,10-100kW,104,0.11766742360355747,-0.1418832184526831,0.5992556636177642,0.02787142319142534,0.002075326024307737,0.011755927099894087,0.12898139838710707,0.48390890638764605,0.04404177956350977,0.004741935616946594,0.6001088255592762,-0.3636839236078399,0.5582313687022731,0.015014299288653037,0.004420678906727273,0.013351981539184165,0.04700958230472198,0.03624547910347364,0.021925724087713275,0.0026654209065738385,0.02659414018584658,0.14225593784757312,0.5383155595113852,0.11433064000964477,0.011414278116527093,0.011755927099894087,0.12898139838710707,0.48390890638764605,0.04404177956350977,0.004741935616946594,2.6216580020730484,0.24264601658503449,0.5351364281650761,34.149840127135406,7.52165663899612,0.34170707737539824,0.14073694897219186,0.42907408071417885,1.4925756519401892,0.14448222986611503
,,,6,>100kW,103,1.9572655634547476,-0.4496537433199356,0.4206785707611118,0.008000574576365122,0.0018323574664991472,0.015572974167159578,0.1023950785616887,0.4972019100531406,0.05439948522094421,0.002525079742815947,0.002235780529715618,0.08285897892680671,0.009976926401238262,0.006028459424876903,0.0015180123090042371,0.009781287894901942,0.09400193304185467,0.22400105846056195,0.030705210403649617,0.0016533242457036912,0.02485270577404519,0.1412590743130874,0.34910368154075533,0.14133026741229837,0.011010643385809815,0.015572974167159578,0.1023950785616887,0.4972019100531406,0.05439948522094421,0.002525079742815947,21.472235879693372,0.07807032279130709,0.0505972496670678,55.41990431497778,5.303174769362776,1.5555113143263497,0.014876659866000005,0.007043692055365702,1.8584151979069208,0.0931765145040937
,,,6,10-100kW,102,0.02543875825343545,-0.048295302138506274,0.10827539243341455,0.015004353959370716,0.001250084179102968,0.033124950956991896,0.03323368279253143,0.08023147922001328,0.04727457413189076,0.0024692558989710886,3.368352947618386,-0.5557816073393284,0.8350783719789576,0.010301717157261652,0.002773875999719159,0.02746995098082031,0.005082747168067656,0.0014578972464153184,0.02951124491276591,0.0018036364022991393,0.115123116556124,-0.00685752857717992,0.0033565924403146097,0.11019698215997625,0.0071918322854764155,0.033124950956991896,0.03323368279253143,0.08023147922001328,0.04727457413189076,0.0024692558989710886,0.8608394760715373,0.37788944566431254,0.8605385096259099,46.284605346185074,10.9093458794903,0.6409204692366708,0.08960432863724108,0.14818761052926366,1.5723772419446134,0.1976445870596526
IE2,N,WEG,8,1-10kW,88,0.07677885868333732,-0.0720056135805699,0.09857576660411838,0.04265049291938492,0.004625803721821618,0.02269044730077203,0.06940551274242257,0.20103770167267954,0.0409257772523793,0.003324339780313691,0.9994985706576037,-0.4304615992869479,0.5587013172364326,0.02866408445226122,0.009825643145893686,0.021614914181221426,0.016139460846335402,0.007555192009536693,0.02416396564098054,0.0023783590307533495,0.43633185610716174,-0.1686697721115794,0.5218217459448973,0.11635812686144721,0.01399461715268166,0.02269044730077203,0.06940551274242257,0.20103770167267954,0.0409257772523793,0.003324339780313691,25.182737955009856,-0.020945710153804583,0.002236086045684371,21.925261104104564,5.331644145514913,0.2712099631830227,0.13424752031391884,0.2590864732432847,0.8216031501355732,0.09964916470535534
IE2,N,WEG,8,<1kW,64,0.06860038609483883,-0.010153999319509176,0.9141102013158253,0.06537327854437826,0.000615478295307538,0.1724302593774891,-0.39182586571944894,0.18490851394027574,0.024330955853553382,0.0053573027754434035,4.375287953051774,-0.8405615094349693,0.8244301682567968,0.051628719794815446,0.016177935058495106,0.2272657684747311,-0.4365941043255381,0.2965098681277295,0.02471968313336397,0.005628082776580019,0.5729177379323774,-0.28841632716044924,0.743920446950469,0.12415721696182822,0.013283907714886814,0.1724302593774891,-0.39182586571944894,0.18490851394027574,0.024330955853553382,0.0053573027754434035,54.90702321006163,-0.11400672827124723,0.5015515838963305,30.439037963147015,2.145383152112302,0.035859192682425385,0.45864108818889165,0.3928342971870429,0.43455984937599734,0.06595975523438807
IE2,N,WEG,8,>100kW,63,13889.794816197145,-1.135282451814445,0.41829701367444394,0.016963640356753018,0.0058832594381822215,0.05467977709514879,-0.0049599478043145726,0.026138637495911166,0.05160866728051454,0.00028354289965112217,0.004601492163169432,0.06487175847974176,0.03593654451349959,0.009832707842790726,0.0008309559497558811,0.04923864168466914,-0.07836039108442806,0.2053788238212827,0.018950848176937523,0.0005684379559305099,0.008297160999577597,0.24303932727825034,0.3237178629383787,0.15576683480788134,0.01038520565836018,0.05467977709514879,-0.0049599478043145726,0.026138637495911166,0.05160866728051454,0.00028354289965112217,68.28858006393102,-0.04165943353085547,0.045062437520975274,41.78007952750271,2.129275921004705,1.1909935011322457,0.027618983306226676,0.019898083649308784,1.6562347982915893,0.0763044280248577
IE2,N,WEG,4,<1kW,60,0.039017787351420204,0.05827018609763219,0.5319572775450641,0.05501690097979388,0.0022445413565953913,0.05692525928969345,-0.09454913606415409,0.05280794229299879,0.03325487381252035,0.0065191847987572365,0.07169510128176344,-0.0986413981576404,0.054239645365068645,0.04275663088171679,0.008562996978144905,0.035625629660997984,-0.032795735096616874,0.015232704687699772,0.03069723596643665,0.003117627562834846,0.29230899922542614,-0.20622412036392906,0.1081930788028852,0.09231403539089637,0.030529705622852468,0.05692525928969345,-0.09454913606415409,0.05280794229299879,0.03325487381252035,0.0065191847987572365,0.05952429682796785,0.8046897563363264,0.7174971783001906,8.495469639183689,4.280909273238613,0.9014889252739369,8.594495988242737e-05,6.84874211120956e-07,0.9015100733512286,0.05129120984426311
