motor_id,manufacturer,efficiency_class,starting_torque_category,group_id,frequency_hz,poles,rated_voltage_v,rated_power_w,rated_speed_rpm,rated_current_a,rated_torque_nm,ist_in,mst_mn,mk_mn,r1,p_rot,s_r,s_k,i2_rated,r2_rated,r20,g_r,r2k,x2k,x20,g_x,x2_rated,x1,e_internal,r_m,i0p,i0q,x_m,converged,status,error_type,error_message,elapsed_ms,row_index
WEG_IE1_5p5kW_2P_380V_012,WEG,IE1,Normal torque (IEC design N),WEG_IE1_50HZ,50,2,380,5500.0,2940.0,12.0,17.8481,6.5,2.1,3.1,1.1004258940192744,403.8508050462081,0.02,0.07893237062523878,9.814236629456351,0.40812135089771373,0.6457217995679534,-0.4634622314453642,0.41387895162905625,1.7414703469597663,1.1025459162542401,0.47629155414814217,1.766723246559937,1.1025459162542401,201.01916679713443,300.17549734875956,0.07750983591894212,5.861870116510274,34.29266817614281,True,ok,,,0.164,12
WEG_IE1_7p5kW_2P_380V_013,WEG,IE1,Normal torque (IEC design N),WEG_IE1_50HZ,50,2,380,7500.0,2935.0,16.2,24.41856,6.8,2.2,3.2,0.9280194538045031,329.7962530095904,0.021666666666666667,0.09012448887490844,13.506334454065174,0.32070300050420614,0.4632633934851235,-0.37183053698376445,0.3249321248725894,1.0762051189577808,0.7125213013614272,0.4323281346776186,1.0927237815458903,0.7125213013614272,200.46043432895894,365.5382864236451,-0.18128782606445704,8.22010362335739,24.38660672833265,True,ok,,,0.172,13
WEG_IE1_9p2kW_2P_380V_014,WEG,IE1,Normal torque (IEC design N),WEG_IE1_50HZ,50,2,380,9200.0,2940.0,18.9,29.91028,7.5,2.4,3.3,0.6407162851647238,525.5808223805276,0.02,0.09163484845854285,15.985498273107998,0.2535738693579239,0.373771000893102,-0.39192720118193614,0.2572644598109784,0.9792222559836102,0.5844517856579418,0.5414900215547833,0.9989673165918215,0.5844517856579418,203.3033657746687,235.92332582513987,0.1492287634699263,8.464756915832524,24.01762599873471,True,ok,,,0.203,14
WEG_IE1_11p0kW_2P_380V_015,WEG,IE1,Normal torque (IEC design N),WEG_IE1_50HZ,50,2,380,11000.0,2940.0,22.4,35.69621,7.7,2.6,3.1,0.5115723024589731,556.3647764315552,0.02,0.1,18.918940361274906,0.21470257444852883,0.3269950780660605,-0.42496251169220334,0.21850093241197582,0.9990986180108425,0.47821732713139437,0.7766429572250887,1.0316374649769229,0.47821732713139437,204.03291247526485,224.47195331169783,0.2371676363589934,9.707135151808796,21.01885976494785,True,ok,,,0.154,15
WEG_IE1_15p0kW_2P_380V_016,WEG,IE1,Normal torque (IEC design N),WEG_IE1_50HZ,50,2,380,15000.0,2945.0,30.6,48.64098,8.7,3.0,3.5,0.32735999022552825,709.533903698761,0.018333333333333333,0.10685449728701348,25.409584786985043,0.14799228924316216,0.21559856030528998,-0.3797551807957769,0.15058463785810608,0.6588774583773913,0.3099775207890555,0.7978697525644114,0.6833600602812574,0.3099775207890555,205.84761822196398,179.15948078069025,0.41326219100373507,14.148438088511007,14.54914082630216,True,ok,,,0.159,16
WEG_IE1_18p5kW_2P_380V_017,WEG,IE1,Normal torque (IEC design N),WEG_IE1_50HZ,50,2,380,18500.0,2945.0,36.9,60.0167,8.6,3.0,3.5,0.26055405300988765,757.7852625994888,0.018333333333333333,0.10685449728701348,31.186308757210234,0.1207580955651518,0.18713630461162453,-0.4421194275222223,0.12322429191174462,0.5289094534451229,0.2634096489694769,0.7376294205827757,0.5470536951159775,0.2634096489694769,206.12538966008,168.20468156151952,0.3294713827547149,16.375305929549697,12.587574885432888,True,ok,,,0.235,17
WEG_IE1_22p0kW_2P_380V_018,WEG,IE1,Normal torque (IEC design N),WEG_IE1_50HZ,50,2,380,22000.0,2960.0,43.5,71.00015,8.5,2.6,3.2,0.22032743067511595,772.3246086013313,0.013333333333333334,0.06666666666666667,37.416861894668486,0.07301740976270216,0.14134744168605656,-0.6649710993588763,0.0743510555433094,0.5250927189871631,0.2351923334881626,0.8313612110987033,0.5371104880533865,0.2351923334881626,205.88936259737773,164.66041283155383,-0.1926387837266148,18.60364559883105,11.067151408770906,True,ok,,,0.137,18
WEG_IE1_30p0kW_2P_380V_019,WEG,IE1,Normal torque (IEC design N),WEG_IE1_50HZ,50,2,380,30000.0,2960.0,58.4,96.79164,7.2,2.4,2.8,0.15315132588119038,1104.1467082763863,0.013333333333333334,0.0610898989723619,51.28288563280294,0.053019068442627756,0.1375783505404447,-0.9599631765881877,0.054272327322821536,0.4611932648128064,0.2166323691735547,0.7798100103676474,0.47002956497319515,0.2166323691735547,205.34249132097344,114.56504400866984,-0.4950683964520124,22.217606407592466,9.242331849519188,True,ok,,,0.155,19
WEG_IE1_37p0kW_2P_380V_020,WEG,IE1,Normal torque (IEC design N),WEG_IE1_50HZ,50,2,380,37000.0,2965.0,71.5,119.64113,7.7,2.6,2.8,0.11015287232939552,1338.0063155640441,0.011666666666666667,0.058333333333333334,62.35391024308187,0.038362708435023034,0.10704264709844094,-1.032180188528007,0.039314944744784315,0.4009930952669485,0.16705298818476721,0.9023470378848709,0.40968106256332903,0.16705298818476721,206.6193445331916,95.72052023684701,-0.12387600542216859,26.907902126938218,7.678760817490096,True,ok,,,0.275,20
WEG_IE1_0p4kW_2P_380V_021,WEG,IE1,Normal torque (IEC design N),WEG_IE1_50HZ,50,2,380,370.0,2735.0,1.04,1.29448,5.0,2.5,2.8,,,,,,,,,,,,,,,,,,,,False,error,ZeroDivisionError,float division by zero,0.148,21
