motor_id,manufacturer,efficiency_class,starting_torque_category,group_id,frequency_hz,poles,rated_voltage_v,rated_power_w,rated_speed_rpm,rated_current_a,rated_torque_nm,ist_in,mst_mn,mk_mn,r1,p_rot,s_r,s_k,i2_rated,r2_rated,r20,g_r,r2k,x2k,x20,g_x,x2_rated,x1,e_internal,r_m,i0p,i0q,x_m,converged,status,error_type,error_message,elapsed_ms,row_index
WEG_IE2_0p1kW_2P_380V_125,WEG,IE2,Normal torque (IEC design N),WEG_IE2_50HZ,50,2,380,120.0,2790.0,0.4,0.41188,4.8,3.0,2.9,,,,,,,,,,,,,,,,,,,,False,error,ZeroDivisionError,float division by zero,0.191,1
WEG_IE2_0p2kW_2P_380V_126,WEG,IE2,Normal torque (IEC design N),WEG_IE2_50HZ,50,2,380,180.0,2745.0,0.585,0.62763,5.0,2.6,3.4,,,,,,,,,,,,,,,,,,,,False,error,ZeroDivisionError,float division by zero,0.152,2
WEG_IE2_0p2kW_2P_380V_127,WEG,IE2,Normal torque (IEC design N),WEG_IE2_50HZ,50,2,380,250.0,2710.0,0.738,0.8826,5.0,2.3,2.9,,,,,,,,,,,,,,,,,,,,False,error,ZeroDivisionError,float division by zero,0.175,3
WEG_IE2_0p4kW_2P_380V_128,WEG,IE2,Normal torque (IEC design N),WEG_IE2_50HZ,50,2,380,370.0,2830.0,0.942,1.24544,5.8,2.5,2.6,,,,,,,,,,,,,,,,,,,,False,error,ZeroDivisionError,float division by zero,0.15,4
WEG_IE2_0p6kW_2P_380V_129,WEG,IE2,Normal torque (IEC design N),WEG_IE2_50HZ,50,2,380,550.0,2780.0,1.28,1.89268,5.8,2.4,2.4,15.067666345605602,77.8217650645651,0.07333333333333333,0.3359944443479904,1.0265252648097634,13.926650348886682,8.614958880101627,0.4989472263140623,12.936786352220906,23.43607726675721,8.83807724364201,1.1967710241788838,27.969743785916684,8.83807724364201,197.0492316905712,1496.8203179777647,0.11144157302423308,0.45429943227056324,433.7430727256913,True,ok,,,0.198,5
WEG_IE2_0p8kW_2P_380V_130,WEG,IE2,Normal torque (IEC design N),WEG_IE2_50HZ,50,2,380,750.0,2800.0,1.66,2.55954,6.5,2.8,2.8,7.220504506759954,81.13812705121119,0.06666666666666667,0.3610226244082935,1.3391011125376446,10.013670381829401,6.44196519449152,0.45660004294282586,9.279630546514245,16.26766875200361,7.529407884532508,0.9637242782519012,19.10332704844071,7.529407884532508,202.75996685513505,1520.0598899632266,0.10340617310615641,0.6478332366444989,312.9817295348192,True,ok,,,0.209,6
WEG_IE2_1p1kW_2P_380V_131,WEG,IE2,Normal torque (IEC design N),WEG_IE2_50HZ,50,2,380,1100.0,2800.0,2.52,3.75595,6.5,2.8,2.8,5.1755124915214115,99.27572748070577,0.06666666666666667,0.3610226244082935,1.996791927960768,6.680264112008794,4.099820949637801,0.5053497308507165,6.140461904871175,11.049915484889343,4.831314918104227,1.0349573205701519,13.131086490909745,4.831314918104227,201.7971335280244,1230.5752110869691,0.11556939924265652,1.1183685697324068,180.4388454660422,True,ok,,,0.302,7
WEG_IE2_1p5kW_2P_380V_132,WEG,IE2,Normal torque (IEC design N),WEG_IE2_50HZ,50,2,380,1500.0,2880.0,3.35,4.97197,7.0,2.6,3.1,5.1285510079089685,94.97488201762008,0.04,0.2,2.6987813328686734,2.9551227959858357,2.4625577564507655,0.18609963327232865,2.908545477808457,5.589916139898711,2.7343068611215093,0.7994908043392044,5.984757263817078,2.7343068611215093,200.03389325385405,1263.9202366012146,0.0885053834441436,1.6772335575008772,119.26418497845339,True,ok,,,0.475,8
WEG_IE2_2p2kW_2P_380V_133,WEG,IE2,Normal torque (IEC design N),WEG_IE2_50HZ,50,2,380,2200.0,2875.0,4.78,7.30595,8.4,3.2,3.2,3.4197888322488326,119.73911861760809,0.041666666666666664,0.25998903461308887,3.830961281849297,2.1941489721428717,1.518869442371921,0.3757391735436738,2.098434779236148,4.250920511089745,1.1689365984529312,1.5007936803922395,5.0798865584435395,1.1689365984529312,202.673280854769,1029.1488507681972,0.19517054624931163,2.304358359882804,87.95215378960268,True,ok,,,0.259,9
WEG_IE2_3p0kW_2P_380V_134,WEG,IE2,Normal torque (IEC design N),WEG_IE2_50HZ,50,2,380,3000.0,2900.0,6.23,9.90472,7.5,2.3,3.0,2.2100997400945057,170.95289063090956,0.03333333333333333,0.14570771725735993,5.340042352154354,1.256848231941919,1.0898142260617638,0.14503771944621605,1.246154753993583,3.4150674380417314,1.6701389883154965,0.7738898474748116,3.574371006844735,1.6701389883154965,202.25137119548833,717.8401663667305,0.04662071562741943,2.6246708866276878,77.05780264715447,True,ok,,,0.269,10
WEG_IE2_4p0kW_2P_380V_135,WEG,IE2,Normal torque (IEC design N),WEG_IE2_50HZ,50,2,380,4000.0,2880.0,8.03,13.23898,7.0,2.0,2.8,1.5920366195913345,184.03219533671304,0.04,0.14928203230275508,7.286022424027416,1.1052376260944825,0.879164875236359,0.23356209826762647,1.0905058932700664,2.801450335498355,1.510573742825636,0.6696502561981507,2.911330270391665,1.510573742825636,202.43406939710525,668.0279889781369,-0.16028253028867834,2.886039556670154,70.14251378822715,True,ok,,,0.159,11
