motor_id,manufacturer,efficiency_class,starting_torque_category,group_id,frequency_hz,poles,rated_voltage_v,rated_power_w,rated_speed_rpm,rated_current_a,rated_torque_nm,ist_in,mst_mn,mk_mn,r1,p_rot,s_r,s_k,i2_rated,r2_rated,r20,g_r,r2k,x2k,x20,g_x,x2_rated,x1,e_internal,r_m,i0p,i0q,x_m,converged,status,error_type,error_message,elapsed_ms,row_index
WEG_IE3_0p2kW_2P_380V_235,WEG,IE3,Normal torque (IEC design N),WEG_IE3_50HZ,50,2,380,180.0,2730.0,0.532,0.62763,5.5,2.6,3.0,,,,,,,,,,,,,,,,,,,,False,error,ZeroDivisionError,float division by zero,0.182,1
WEG_IE3_0p2kW_2P_380V_236,WEG,IE3,Normal torque (IEC design N),WEG_IE3_50HZ,50,2,380,250.0,2710.0,0.673,0.8826,4.8,2.3,2.8,41.42835373081613,26.015627780614068,0.09666666666666666,0.42255238004634377,0.505594966727856,36.56047456597819,20.33227385697241,0.6173553166512855,32.50316975282779,16.87692526990505,14.125265947175338,0.23421802270808337,17.64716116700624,14.125265947175338,191.43002747649356,4225.78179492843,0.03953554474573162,0.39394814297828495,485.9269700556641,True,ok,,,0.196,2
WEG_IE3_0p4kW_2P_380V_237,WEG,IE3,Normal torque (IEC design N),WEG_IE3_50HZ,50,2,380,370.0,2840.0,0.955,1.24544,6.3,3.0,3.5,,,,,,,,,,,,,,,,,,,,False,error,ZeroDivisionError,float division by zero,0.131,3
WEG_IE3_0p6kW_2P_380V_238,WEG,IE3,Normal torque (IEC design N),WEG_IE3_50HZ,50,2,380,550.0,2830.0,1.25,1.85346,5.9,2.7,2.7,14.687901857045018,58.306489206115955,0.056666666666666664,0.2951192769784905,1.0018006538234874,11.14196521828892,9.647526247991369,0.14827961692807898,10.926520555412251,18.944962972967694,8.554872428756603,0.9469555102254298,21.460946367663052,8.554872428756603,198.1468073962125,2020.126292076255,0.07901966863622023,0.5300355906595283,373.83679678879025,True,ok,,,0.128,4
WEG_IE3_0p8kW_2P_380V_239,WEG,IE3,Normal torque (IEC design N),WEG_IE3_50HZ,50,2,380,750.0,2870.0,1.72,2.5007,7.5,3.3,3.4,,,,,,,,,,,,,,,,,,,,False,error,ZeroDivisionError,float division by zero,0.083,5
WEG_IE3_1p1kW_2P_380V_240,WEG,IE3,Normal torque (IEC design N),WEG_IE3_50HZ,50,2,380,1100.0,2830.0,2.54,3.71672,7.4,3.6,3.6,4.189650635065292,70.20435319944858,0.056666666666666664,0.3999716532789599,1.9418607387483386,5.942256536473538,3.96075407497706,0.41766081195410115,5.473732522045909,8.138672652964217,4.177743867973992,0.8608867298893966,9.639898634264084,4.177743867973992,204.4886309944536,1786.8806548443888,0.07458826459817303,1.361961445682176,150.14274570160816,True,ok,,,0.138,6
WEG_IE3_1p5kW_2P_380V_241,WEG,IE3,Normal torque (IEC design N),WEG_IE3_50HZ,50,2,380,1500.0,2900.0,3.31,4.94255,8.0,2.6,3.5,4.679490113332141,77.6633154039157,0.03333333333333333,0.16666666666666666,2.668978793366936,2.5168179729744065,1.9179207048569067,0.27639946147697625,2.4683716104653004,4.726716403983503,2.5059598582809794,0.6951244657956004,4.963507795741209,2.5059598582809794,201.9549756254578,1575.485618960179,0.049319542091100566,1.7466721650844117,115.62271367374649,True,ok,,,0.269,7
WEG_IE3_2p2kW_2P_380V_242,WEG,IE3,Normal torque (IEC design N),WEG_IE3_50HZ,50,2,380,2200.0,2870.0,4.66,7.32557,7.5,3.4,3.5,2.420396824982747,93.90888426419384,0.043333333333333335,0.28814999901369,3.8037745863226045,2.321344981642871,2.1336606163339686,0.08619590803623439,2.2946116854746568,3.926107811934659,2.1601842044006228,0.7081267453568622,4.3180658501329,2.1601842044006228,204.4272105530505,1335.032933527314,0.0796020861379727,2.255291272736035,90.64337410619564,True,ok,,,0.158,8
WEG_IE3_3p0kW_2P_380V_243,WEG,IE3,Normal torque (IEC design N),WEG_IE3_50HZ,50,2,380,3000.0,2905.0,6.16,9.90472,7.9,2.5,3.3,1.6571383207330734,161.14059844008335,0.03166666666666667,0.15172411517013412,5.231445582014062,1.2356475882747218,1.0901832868559038,0.12728085263234057,1.2257757525429913,3.357277116244818,1.7872614221128906,0.6845089938701029,3.5052725016508472,1.7872614221128906,204.9553571766856,782.0505603566203,0.03560948018404453,2.6758053558726864,76.59576460853653,True,ok,,,0.187,9
WEG_IE3_4p0kW_2P_380V_244,WEG,IE3,Normal torque (IEC design N),WEG_IE3_50HZ,50,2,380,4000.0,2900.0,8.0,13.14091,7.7,2.5,3.5,1.0857487619010995,187.28706063571485,0.03333333333333333,0.15970959491593065,6.94800581194526,0.9851066926014548,0.9087419521812715,0.08206817508191822,0.979743593975901,2.2699187888549277,1.4753671397277275,0.47000067352869007,2.342005953042209,1.4753671397277275,205.97956691416957,679.6131325165038,-0.028384063171569274,3.341397204713173,61.64474149425493,True,ok,,,0.149,10
WEG_IE3_5p5kW_2P_380V_245,WEG,IE3,Normal torque (IEC design N),WEG_IE3_50HZ,50,2,380,5500.0,2945.0,11.1,17.8481,7.9,2.3,3.4,0.7284129499287357,299.365940738221,0.018333333333333333,0.08013924449154795,9.617265841931662,0.3917207183639112,0.5586053441186096,-0.35819270952024723,0.39619354574632154,1.9011060330389329,1.0727502758970786,0.5966154589584078,1.937400037601892,1.0727502758970786,206.33113938350692,426.62708029825774,-0.11443110778569299,4.70703882843096,43.83459472168517,True,ok,,,0.15,11
WEG_IE3_7p5kW_2P_380V_246,WEG,IE3,Normal torque (IEC design N),WEG_IE3_50HZ,50,2,380,7500.0,2950.0,15.3,24.32049,8.8,2.8,3.9,0.44317148837967696,395.2656692225417,0.016666666666666666,0.09025565610207338,12.69214561436622,0.27213774549756,0.3926893045633081,-0.3698050273354066,0.27597127122802856,1.234555317515599,0.6993818252616265,0.595791765672144,1.2626939978054028,0.6993818252616265,207.85946101129798,327.9229052466618,0.07245281441766949,7.245033794603997,28.68992290499858,True,ok,,,0.239,12
WEG_IE3_9p2kW_2P_380V_247,WEG,IE3,Normal torque (IEC design N),WEG_IE3_50HZ,50,2,380,9200.0,2940.0,18.8,29.91028,8.5,3.0,3.8,0.3233712839388256,417.33893258238913,0.02,0.1165685424949238,15.4223143722519,0.2689553172385353,0.3676276784513502,-0.31569835207653046,0.27323781563171584,1.0763354043227187,0.593177485313427,0.63391551563122,1.111024674469485,0.593177485313427,208.10227922071203,311.3049507426855,0.08631376211306296,9.072684078812548,22.937234164991327,True,ok,,,0.16,13
